Periodo,Sexo,Total
1980,Hombres,152225
1980,Mujeres,137119
1981,Hombres,154437
1981,Mujeres,138949
1982,Hombres,151048
1982,Mujeres,135607
1983,Hombres,158375
1983,Mujeres,144194
1984,Hombres,158515
1984,Mujeres,140894
1985,Hombres,164834
1985,Mujeres,147698
1986,Hombres,162961
1986,Mujeres,147452
1987,Hombres,163891
1987,Mujeres,146182
1988,Hombres,168734
1988,Mujeres,150703
1989,Hombres,172364
1989,Mujeres,152432
1990,Hombres,176779
1990,Mujeres,156363
1991,Hombres,179344
1991,Mujeres,158347
1992,Hombres,177087
1992,Mujeres,154428
1993,Hombres,180512
1993,Mujeres,159149
1994,Hombres,179924
1994,Mujeres,158318
1995,Hombres,184488
1995,Mujeres,161739
1996,Hombres,186901
1996,Mujeres,164548
1997,Hombres,185095
1997,Mujeres,164426
1998,Hombres,190218
1998,Mujeres,170293
1999,Hombres,195255
1999,Mujeres,175847
2000,Hombres,189468
2000,Mujeres,170923
2001,Hombres,189714
2001,Mujeres,170417
2002,Hombres,193269
2002,Mujeres,175349
2003,Hombres,199897
2003,Mujeres,184931
2004,Hombres,194928
2004,Mujeres,177006
2005,Hombres,201769
2005,Mujeres,185586
2006,Hombres,194154
2006,Mujeres,177324
2007,Hombres,201136
2007,Mujeres,184225
2008,Hombres,199647
2008,Mujeres,186677
2009,Hombres,199095
2009,Mujeres,185838
2010,Hombres,198121
2010,Mujeres,183926
2011,Hombres,199854
2011,Mujeres,188057
2012,Hombres,205920
2012,Mujeres,197030
2013,Hombres,199834
2013,Mujeres,190585
2014,Hombres,201571
2014,Mujeres,194259
2015,Hombres,213309
2015,Mujeres,209259
2016,Hombres,208993
2016,Mujeres,201618
2017,Hombres,214236
2017,Mujeres,210287
2018,Hombres,216442
2018,Mujeres,211279
